City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
367,Prainha,-1.8,-53.48,72.59,98,100,2.59,BR,2022-03-29 01:58:35
368,Saint-Augustin,51.226,-58.6502,31.69,98,96,7.14,CA,2022-03-29 01:58:35
369,San Carlos De Bariloche,-41.1456,-71.3082,46.15,71,75,26.46,AR,2022-03-29 01:58:36
370,Russell,32.3502,-85.1999,61.12,74,5,5.88,US,2022-03-29 01:58:36
371,San-Pedro,4.7485,-6.6363,78.91,92,98,5.88,CI,2022-03-29 01:58:37
372,Tommot,58.9564,126.2925,22.57,79,100,11.36,RU,2022-03-29 01:58:37
373,Talas,38.6908,35.5538,29.07,86,0,6.91,TR,2022-03-29 01:58:38
374,Kahului,20.8947,-156.47,78.96,79,94,8.99,US,2022-03-29 01:58:38
375,Tuktoyaktuk,69.4541,-133.0374,-7.6,71,0,10.36,CA,2022-03-29 01:58:38
376,Yali,6.6746,-74.8343,64.15,98,77,2.01,CO,2022-03-29 01:58:39
377,Nahavand,34.1885,48.377,29.21,41,0,3.04,IR,2022-03-29 01:58:39
378,Grand Gaube,-20.0064,57.6608,74.37,80,0,3.0,MU,2022-03-29 01:58:40
379,Te Anau,-45.4167,167.7167,66.6,54,91,1.59,NZ,2022-03-29 01:58:40
380,Bowen,-20.0167,148.2333,85.59,58,0,12.19,AU,2022-03-29 01:58:41
381,Launceston,-41.45,147.1667,73.04,53,40,8.05,AU,2022-03-29 01:56:05
382,Wanning,18.8003,110.3967,76.78,86,96,8.5,CN,2022-03-29 01:58:41
383,Ramnagar,29.4,79.1167,74.07,20,0,3.4,IN,2022-03-29 01:58:42
384,Oussouye,12.485,-16.5469,75.38,56,59,13.56,SN,2022-03-29 01:58:42
385,Churapcha,62.0025,132.4325,23.67,85,100,2.55,RU,2022-03-29 01:58:43
386,Taoudenni,22.6783,-3.9836,86.13,11,98,5.28,ML,2022-03-29 01:58:43
387,Kirakira,-10.4544,161.9205,83.07,81,100,3.31,SB,2022-03-29 01:58:43
388,Lasa,46.6166,10.7002,41.02,80,99,2.46,IT,2022-03-29 01:58:44
389,Kangaatsiaq,68.3065,-53.4641,12.56,95,48,6.06,GL,2022-03-29 01:58:44
390,Itarema,-2.9248,-39.9167,76.08,92,100,7.45,BR,2022-03-29 01:58:45
391,Naze,28.3667,129.4833,63.52,84,100,10.65,JP,2022-03-29 01:58:45
392,Port Keats,-14.25,129.55,89.91,59,100,6.38,AU,2022-03-29 01:58:45
393,Tessalit,20.1986,1.0114,79.32,8,33,12.08,ML,2022-03-29 01:58:46
394,Adrar,20.5022,-10.0711,80.49,21,100,9.91,MR,2022-03-29 01:58:46
395,Zhezkazgan,47.8043,67.7144,37.38,93,100,22.37,KZ,2022-03-29 01:58:47
396,Thinadhoo,0.5333,72.9333,81.5,64,2,5.44,MV,2022-03-29 01:58:47
397,Vilyuysk,63.7553,121.6247,12.96,87,99,9.33,RU,2022-03-29 01:58:47
398,Oktyabrskiy,54.4815,53.471,15.71,91,97,13.31,RU,2022-03-29 01:58:48
399,Turinsk,58.0458,63.696,21.38,96,55,5.28,RU,2022-03-29 01:58:48
400,Pachino,36.7186,15.0907,54.81,81,29,8.05,IT,2022-03-29 01:58:49
401,Bengkulu,-3.8004,102.2655,80.83,67,100,5.14,ID,2022-03-29 01:58:49
402,Sens,48.1667,3.3333,49.35,68,100,3.69,FR,2022-03-29 01:58:49
403,Kirensk,57.7853,108.1119,19.74,88,100,5.32,RU,2022-03-29 01:58:50
404,Anshun,26.25,105.9333,52.34,93,100,13.89,CN,2022-03-29 01:58:50
405,Codrington,-38.2667,141.9667,64.42,59,66,9.82,AU,2022-03-29 01:58:50
406,Thohoyandou,-22.9456,30.485,64.29,86,97,3.96,ZA,2022-03-29 01:58:51
407,Ngaoundere,7.3167,13.5833,67.59,14,97,4.29,CM,2022-03-29 01:58:51
408,Antalaha,-14.9003,50.2788,73.58,86,30,4.25,MG,2022-03-29 01:58:52
409,San Cristobal,7.7669,-72.225,69.98,81,100,2.46,VE,2022-03-29 01:58:52
410,Mtwara,-10.2667,40.1833,75.25,94,85,9.13,TZ,2022-03-29 01:58:52
411,Zhanakorgan,43.9098,67.2495,38.82,70,100,23.13,KZ,2022-03-29 01:58:53
412,Kango,0.1943,10.0951,73.02,98,82,1.07,GA,2022-03-29 01:59:53
413,Maceio,-9.6658,-35.7353,80.04,78,75,3.44,BR,2022-03-29 01:59:54
414,Mehamn,71.0357,27.8492,27.72,85,100,27.36,NO,2022-03-29 01:59:54
415,Dikson,73.5069,80.5464,-1.68,95,100,7.25,RU,2022-03-29 01:59:55
416,Ferrol,43.4832,-8.2369,54.12,90,100,3.13,ES,2022-03-29 01:59:55
417,Khonsa,27.0167,95.5667,73.51,44,42,2.15,IN,2022-03-29 01:59:55
418,Penzance,50.1186,-5.5371,50.22,87,100,6.51,GB,2022-03-29 01:59:56
419,Ilulissat,69.2167,-51.1,14.88,86,12,6.91,GL,2022-03-29 01:59:56
420,Lishui,28.4604,119.9103,60.8,76,79,3.15,CN,2022-03-29 01:59:57
421,Xuddur,4.1213,43.8894,71.01,79,92,17.6,SO,2022-03-29 01:59:57
422,Narsimhapur,22.95,79.2,81.36,16,17,5.68,IN,2022-03-29 01:59:58
423,Constitucion,-35.3333,-72.4167,53.15,86,5,7.92,CL,2022-03-29 01:59:59
424,Jiaohe,43.7286,127.3447,48.49,27,100,16.13,CN,2022-03-29 01:59:59
425,Kawalu,-7.3817,108.2082,82.33,74,60,0.83,ID,2022-03-29 02:00:01
426,Sitio Novo Do Tocantins,-5.5183,-47.4611,73.56,98,100,2.73,BR,2022-03-29 02:00:01
427,The Valley,18.217,-63.0578,78.82,72,6,11.14,AI,2022-03-29 02:00:02
428,Guarapari,-20.6667,-40.4975,78.89,91,24,4.7,BR,2022-03-29 02:00:03
429,Cap Malheureux,-19.9842,57.6142,74.46,80,0,3.0,MU,2022-03-29 02:00:04
430,San Carlos,9.6612,-68.5827,80.55,64,98,3.04,VE,2022-03-29 02:00:05
431,Jiangdu,32.4286,119.5574,62.89,66,0,14.63,CN,2022-03-29 02:00:07
432,Sinnamary,5.3833,-52.95,78.12,83,100,12.97,GF,2022-03-29 02:00:08
433,Agirish,61.9247,63.0231,26.1,96,100,5.99,RU,2022-03-29 02:00:09
434,Mathbaria,22.2876,89.9593,84.31,65,82,10.54,BD,2022-03-29 02:00:10
435,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,71.71,100,100,1.7,BR,2022-03-29 02:00:11
436,Sydney,-33.8679,151.2073,71.71,95,75,4.61,AU,2022-03-29 01:55:53
437,Magadan,59.5667,150.8,24.53,59,100,6.76,RU,2022-03-29 02:00:12
438,Maragogi,-9.0122,-35.2225,77.92,83,94,5.28,BR,2022-03-29 02:00:13
439,Thornbury,52.2333,-2.55,52.72,86,82,3.78,GB,2022-03-29 02:00:14
440,Mayumba,-3.432,10.6554,73.89,91,100,2.86,GA,2022-03-29 02:00:15
441,Paveh,35.0434,46.3565,36.68,52,0,4.14,IR,2022-03-29 02:00:15
442,Lerwick,60.1545,-1.1494,37.4,66,100,14.29,GB,2022-03-29 02:00:16
443,Miyako,39.6367,141.9525,45.93,58,47,9.04,JP,2022-03-29 02:00:17
444,Sakaiminato,35.55,133.2333,52.23,52,100,5.32,JP,2022-03-29 02:00:17
445,Oistins,13.0667,-59.5333,77.09,73,40,16.11,BB,2022-03-29 01:58:33
446,Saint Peter,13.25,-59.6167,75.74,68,100,16.91,BB,2022-03-29 02:00:18
447,Srednekolymsk,67.45,153.6833,11.12,78,8,9.71,RU,2022-03-29 02:00:18
448,Samarai,-10.6167,150.6667,84.15,70,98,6.91,PG,2022-03-29 02:00:18
