,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
134,Vitez,BA,44.1544,17.7903,30.7,92,42,0.92,scattered clouds
135,Mujiayingzi,CN,42.1167,118.7833,43.97,38,47,10.0,scattered clouds
136,Kenai,US,60.5544,-151.2583,43.03,57,75,9.22,broken clouds
137,Kondoa,TZ,-4.9,35.7833,61.61,86,72,4.74,broken clouds
138,Bilibino,RU,68.0546,166.4372,0.09,87,43,3.04,scattered clouds
139,Alibunar,RS,45.0808,20.9658,38.8,85,67,5.7,broken clouds
140,Katobu,ID,-4.9408,122.5276,73.42,93,36,2.44,scattered clouds
141,Horta,PT,38.5333,-28.6333,59.38,79,46,11.56,scattered clouds
142,Celestun,MX,20.8667,-90.4,82.06,71,67,13.09,broken clouds
143,Tarko-Sale,RU,64.9225,77.785,10.87,92,100,12.24,overcast clouds
144,Fortuna,US,40.5982,-124.1573,58.93,65,0,16.11,clear sky
145,Evensk,RU,61.95,159.2333,11.77,76,25,1.52,scattered clouds
146,Vila Velha,BR,-20.3297,-40.2925,82.35,80,20,6.91,few clouds
147,Katsuura,JP,35.1333,140.3,48.22,88,100,15.97,moderate rain
148,Port Macquarie,AU,-31.4333,152.9167,64.89,81,100,8.37,moderate rain
149,Andros Town,BS,24.7,-77.7667,82.36,68,64,9.13,broken clouds
150,Pisco,PE,-13.7,-76.2167,69.85,78,0,20.71,clear sky
151,Upernavik,GL,72.7868,-56.1549,15.53,84,65,4.9,broken clouds
152,Vao,NC,-22.6667,167.4833,79.39,87,79,17.52,broken clouds
153,Asau,RO,46.4333,26.4,31.12,93,100,0.89,light snow
154,Pryazha,RU,61.6926,33.6216,24.03,98,67,3.96,broken clouds
155,Rapid City,US,44.0805,-103.231,56.01,29,20,35.68,few clouds
156,Casa Grande,US,32.8795,-111.7573,86.99,14,0,14.97,clear sky
157,Sobolevo,RU,54.4299,31.8996,22.44,90,99,6.04,overcast clouds
158,Codrington,AU,-38.2667,141.9667,59.32,80,98,3.89,overcast clouds
159,Adrar,MR,20.5022,-10.0711,78.26,11,0,12.17,clear sky
160,Husavik,IS,66.0449,-17.3389,28.53,94,100,11.3,light snow
161,Sonepur,IN,20.8333,83.9167,77.95,32,21,1.68,few clouds
162,Omboue,GA,-1.5746,9.2618,77.77,88,89,3.31,overcast clouds
163,Barrow,US,71.2906,-156.7887,-5.78,77,0,18.41,clear sky
164,Lebu,CL,-37.6167,-73.65,54.95,70,0,18.77,clear sky
165,Shaunavon,CA,49.6501,-108.4181,50.92,25,34,12.35,scattered clouds
166,Luvianos,MX,18.9167,-100.4,89.78,9,67,6.42,broken clouds
167,Salalah,OM,17.0151,54.0924,78.89,73,20,4.61,few clouds
